pitch_type,game_date,release_speed,pitcher,events,description,zone,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,inning,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,launch_speed_angle
FF,4/11/19,95.4,592332,strikeout,swinging_strike,11,R,ATL,NYM,S,2,null,3,2,1,null,null,null,95.501,2249,6.299,null
CU,4/10/19,74.9,543606,field_out,hit_into_play,14,R,NYM,MIN,X,5,ground_ball,1,1,4,88,102.3,4,72.537,1982,4.872,4
CU,4/10/19,77.2,543606,field_out,hit_into_play,9,R,NYM,MIN,X,3,popup,1,2,1,null,80,69,75.583,2249,5.435,3
FF,4/9/19,92.7,608328,home_run,hit_into_play_score,9,R,NYM,MIN,X,null,fly_ball,2,2,9,397,106.6,35.1,90.953,2337,5.527,6
FT,4/9/19,93.3,606167,home_run,hit_into_play_score,6,L,NYM,MIN,X,null,fly_ball,2,1,7,358,104.3,37.3,91.585,2577,5.753,6
FT,4/9/19,92.6,502043,field_out,hit_into_play,7,R,NYM,MIN,X,5,ground_ball,2,2,5,39,105.3,0.2,93.581,2103,6.963,4
SL,4/9/19,85.4,502043,strikeout,swinging_strike_blocked,14,R,NYM,MIN,S,2,null,1,2,3,null,null,null,84.932,2521,6.154,null
CH,4/9/19,86.5,502043,strikeout,swinging_strike,8,R,NYM,MIN,S,2,null,1,2,1,null,null,null,87.762,1602,6.976,null
SI,4/7/19,91.6,594840,home_run,hit_into_play_score,4,L,NYM,WSH,X,null,fly_ball,3,1,7,417,104,23.8,90.701,1705,5.779,6
CH,4/7/19,83.6,453286,double,hit_into_play_no_out,8,R,NYM,WSH,X,7,line_drive,0,1,6,146,111.7,7.4,83.187,1446,6.098,5
FF,4/7/19,94.9,453286,strikeout,swinging_strike,12,R,NYM,WSH,S,2,null,1,2,3,null,null,null,94.007,2438,5.954,null
CH,4/7/19,84.6,453286,grounded_into_double_play,hit_into_play,9,R,NYM,WSH,X,6,ground_ball,2,2,1,null,82.9,-20.7,83.858,1742,5.967,2
SL,4/6/19,85.9,502522,home_run,hit_into_play_score,9,R,NYM,WSH,X,null,fly_ball,2,1,8,427,108.7,22.1,84.869,2617,5.683,6
SL,4/6/19,83.3,571578,strikeout,swinging_strike_blocked,13,L,NYM,WSH,S,2,null,2,2,5,null,null,null,82.734,2455,6.089,null
SL,4/6/19,81.9,571578,double,hit_into_play_no_out,13,L,NYM,WSH,X,7,line_drive,2,2,3,258,112.2,11.6,80.982,2511,5.974,6
SL,4/6/19,80.8,571578,strikeout,swinging_strike,13,L,NYM,WSH,S,2,null,3,2,1,null,null,null,80.167,2404,5.734,null
FF,4/4/19,93.9,502522,strikeout,swinging_strike,4,R,NYM,WSH,S,2,null,2,2,8,null,null,null,93.827,2517,6.503,null
CU,4/4/19,80.6,544931,strikeout,swinging_strike,14,R,NYM,WSH,S,2,null,2,2,6,null,null,null,79.975,2429,6.251,null
FT,4/4/19,92.9,544931,field_out,hit_into_play,8,R,NYM,WSH,X,1,ground_ball,1,1,4,5,98.3,-15.1,93.862,2023,6.776,2
FF,4/3/19,94.7,623433,single,hit_into_play_no_out,1,R,MIA,NYM,X,5,line_drive,1,2,7,180,108.8,8.4,93.361,2177,5.73,4
FF,4/3/19,90.9,670950,strikeout,swinging_strike,11,R,MIA,NYM,S,2,null,1,2,5,null,null,null,90.676,2169,6.422,null
FC,4/3/19,85.6,670950,double,hit_into_play_score,8,R,MIA,NYM,X,7,line_drive,0,0,3,381,107.2,19.6,85.728,2101,6.392,6
FF,4/3/19,90.8,670950,field_out,hit_into_play,6,R,MIA,NYM,X,8,fly_ball,1,1,1,354,96.8,36.8,90.454,2289,6.183,3
FF,4/2/19,89.4,612672,strikeout,called_strike,7,L,MIA,NYM,S,2,null,0,2,7,null,null,null,88.806,1997,5.837,null
FF,4/1/19,95.3,608716,home_run,hit_into_play_score,8,R,MIA,NYM,X,null,fly_ball,0,0,9,444,112.8,21,94.362,2490,6.166,6
FF,4/1/19,93.5,641755,field_out,hit_into_play,12,R,MIA,NYM,X,3,popup,1,0,7,null,80,69,91.061,2142,4.972,3
CH,4/1/19,83.6,592761,strikeout,swinging_strike,14,L,MIA,NYM,S,2,null,2,2,5,null,null,null,81.398,2119,5.033,null
SL,4/1/19,83.6,592761,field_out,hit_into_play,6,L,MIA,NYM,X,8,fly_ball,2,2,3,349,95.1,33.6,81.327,2387,4.673,3
CH,4/1/19,84.3,592761,strikeout,swinging_strike,14,L,MIA,NYM,S,2,null,2,2,1,null,null,null,82.039,1952,4.954,null
FF,3/31/19,94.3,448281,field_out,hit_into_play,7,L,WSH,NYM,X,4,ground_ball,3,2,9,11,66,-6.6,94.593,2375,6.358,2
SL,3/31/19,84.8,502522,field_out,hit_into_play,14,R,WSH,NYM,X,9,line_drive,2,2,7,325,104.5,14.6,85.078,2707,6.106,5
CH,3/31/19,81.8,571578,double,hit_into_play_score,6,L,WSH,NYM,X,7,line_drive,0,1,3,371,110.9,16.6,81.661,3147,6.191,6
FF,3/31/19,92.9,571578,single,hit_into_play_no_out,5,L,WSH,NYM,X,9,fly_ball,0,0,1,226,73.9,32.6,92.928,2241,6.399,3
FF,3/30/19,93.2,607457,double,hit_into_play_score,8,R,WSH,NYM,X,9,line_drive,3,1,8,378,113.8,15,93.74,2316,6.292,6
CH,3/30/19,86.4,544931,strikeout,swinging_strike_blocked,14,R,WSH,NYM,S,2,null,1,2,4,null,null,null,87.384,1613,6.754,null
CU,3/30/19,79.4,544931,double,hit_into_play_score,14,R,WSH,NYM,X,8,line_drive,3,1,2,388,106.8,16.9,79.412,2616,6.279,6
FT,3/30/19,93.6,544931,single,hit_into_play_no_out,5,R,WSH,NYM,X,9,line_drive,1,1,1,238,76.1,23.7,95.056,2061,6.991,4
FF,3/28/19,93.5,502522,single,hit_into_play_no_out,4,R,WSH,NYM,X,8,line_drive,1,2,8,240,77.1,20.7,93.682,2347,6.357,4
FF,3/28/19,95.6,453286,strikeout,called_strike,9,R,WSH,NYM,S,2,null,0,2,6,null,null,null,94.573,2637,5.927,null
CH,3/28/19,85.1,453286,field_out,hit_into_play,4,R,WSH,NYM,X,5,ground_ball,2,2,3,9,75.1,-15.3,84.743,1711,6.064,2
FC,3/28/19,87.7,453286,strikeout,foul_tip,14,R,WSH,NYM,S,2,null,3,2,1,null,null,null,87.073,2328,6.151,null
